seed,franja,fijo_net_timeloss_s,adap_net_timeloss_s,rd_pct,n_veh_fijo,n_veh_adap
42,pico_am_07_09,121.1812,97.3204,19.6901,5721,5721
42,valle_10_17,100.8275,77.9934,22.6467,11550,11551
42,pico_pm_18_20,125.3284,101.1836,19.2652,5941,5940
42,dia_completo,109.0906,86.1945,20.9881,33530,33534
43,pico_am_07_09,120.727,95.2475,21.1051,5721,5720
43,valle_10_17,100.5717,78.2596,22.1853,11550,11550
43,pico_pm_18_20,125.4178,100.4788,19.8847,5940,5940
43,dia_completo,109.4819,85.6827,21.738,33526,33528
44,pico_am_07_09,134.3069,99.3315,26.0414,5721,5721
44,valle_10_17,100.1489,78.0982,22.0179,11550,11550
44,pico_pm_18_20,127.0487,102.9334,18.9812,5940,5940
44,dia_completo,112.8021,87.6478,22.2995,33521,33525
45,pico_am_07_09,126.6521,99.2861,21.6072,5720,5720
45,valle_10_17,100.2802,78.4198,21.7993,11550,11550
45,pico_pm_18_20,139.6818,120.3954,13.8074,5935,5935
45,dia_completo,112.8461,91.0879,19.2813,33524,33525
46,pico_am_07_09,111.9661,88.0574,21.3535,5720,5721
46,valle_10_17,100.7341,78.1887,22.3811,11550,11550
46,pico_pm_18_20,116.6497,97.8157,16.1458,5940,5940
46,dia_completo,106.52,84.8437,20.3495,33529,33528
47,pico_am_07_09,111.2854,91.345,17.9182,5721,5721
47,valle_10_17,100.9687,78.6176,22.1367,11550,11550
47,pico_pm_18_20,116.7789,88.3222,24.368,5940,5940
47,dia_completo,105.5364,82.271,22.0448,33525,33527
48,pico_am_07_09,116.7311,91.7037,21.4402,5721,5721
48,valle_10_17,101.3497,77.7665,23.2691,11550,11550
48,pico_pm_18_20,111.6549,92.673,17.0005,5939,5940
48,dia_completo,104.9806,82.9745,20.962,33526,33533
49,pico_am_07_09,125.2448,112.2295,10.3918,5721,5721
49,valle_10_17,101.9751,79.9955,21.5539,11550,11550
49,pico_pm_18_20,131.1383,112.5262,14.1927,5940,5938
49,dia_completo,113.7515,94.7965,16.6634,33527,33525
50,pico_am_07_09,121.8418,103.4862,15.0652,5721,5721
50,valle_10_17,102.1865,79.1591,22.5347,11550,11550
50,pico_pm_18_20,130.1708,105.554,18.9112,5940,5940
50,dia_completo,111.4221,89.5921,19.5921,33527,33528
51,pico_am_07_09,135.1382,103.6287,23.3165,5719,5721
51,valle_10_17,101.9204,79.132,22.359,11550,11550
51,pico_pm_18_20,133.6785,103.5161,22.5634,5938,5940
51,dia_completo,115.2048,88.9665,22.7754,33526,33526
