seed,zona,nivel_los,franja,fijo_timeloss_total_s,adap_timeloss_total_s,rd_pct_timeloss,fijo_timeloss_per_veh_s,adap_timeloss_per_veh_s,rd_pct_timeloss_per_veh,fijo_waiting_total_s,adap_waiting_total_s,rd_pct_waiting,fijo_waiting_per_veh_s,adap_waiting_per_veh_s,rd_pct_waiting_per_veh,fijo_density_mean,adap_density_mean,fijo_speed_mean_ms,adap_speed_mean_ms,fijo_throughput,adap_throughput
42,arequipa_angamos,E/H,pico_am_07_09,13794.96,8612.71,37.5663,13.0018,8.1175,37.5663,9795.0,4937.0,49.5967,9.2319,4.6532,49.5967,8.2268,6.4122,4.7169,6.2258,1061,1061
42,arequipa_angamos,E/H,valle_10_17,26242.91,17249.79,34.2688,12.4966,8.2142,34.2688,19097.0,10301.0,46.0596,9.0938,4.9052,46.0596,4.5384,3.4953,4.8842,6.2362,2100,2100
42,arequipa_angamos,E/H,pico_pm_18_20,13840.74,9248.97,33.1758,12.5597,8.4235,32.9323,9675.0,5499.0,43.1628,8.7795,5.0082,42.9557,8.3169,6.5238,4.8368,6.1211,1102,1098
42,arequipa_angamos,E/H,dia_completo,77071.31,50744.85,34.1586,12.645,8.3243,34.1694,55348.0,30282.0,45.288,9.0809,4.9675,45.297,5.6146,4.3903,4.8336,6.1785,6095,6096
42,28julio_lapaz,D/F,pico_am_07_09,1546.02,1766.78,-14.2792,5.834,6.568,-12.5799,1115.0,883.0,20.8072,4.2075,3.2825,21.9848,3.2126,3.823,8.2277,7.7547,265,269
42,28julio_lapaz,D/F,valle_10_17,2750.28,3393.66,-23.3933,5.0371,6.2269,-23.6197,1863.0,1616.0,13.2582,3.4121,2.9651,13.099,2.0353,2.2645,8.842,8.0075,546,545
42,28julio_lapaz,D/F,pico_pm_18_20,1981.33,1651.01,16.6716,7.2843,6.0923,16.3641,1456.0,885.0,39.217,5.3529,3.2657,38.9927,3.8592,3.5653,7.3625,8.0738,272,271
42,28julio_lapaz,D/F,dia_completo,9004.16,9794.04,-8.7724,5.7608,6.2662,-8.7724,6386.0,4843.0,24.1622,4.0857,3.0985,24.1622,2.4682,2.6312,8.2874,7.9586,1563,1563
42,ricardopalma_paseo,D/F,pico_am_07_09,4169.24,4300.94,-3.1588,3.9185,4.0271,-2.7725,3126.08,2284.84,26.9104,2.938,2.1394,27.1841,11.5595,13.7406,6.1168,6.0051,1064,1068
42,ricardopalma_paseo,D/F,valle_10_17,7308.38,7556.9,-3.4005,3.3372,3.4506,-3.4005,5338.0,3908.0,26.7891,2.4374,1.7845,26.7891,6.5995,6.7294,6.6635,6.5365,2190,2190
