seed,fijo_timeloss,adap_timeloss,delta_fijo_menos_adap,rd_pct,fijo_neverins,adap_neverins,fijo_teleports,adap_teleports,fijo_completed,adap_completed,adap_webster,adap_maxpressure,adap_calls
42,109.0906,86.1945,22.8961,20.9882,1,1,0,5,33530,33534,146781,4,146785
43,109.4819,85.6827,23.7992,21.738,1,1,1,2,33526,33528,146734,1,146735
44,112.8021,87.6478,25.1543,22.2995,1,1,31,0,33521,33525,146906,0,146906
45,112.8461,91.0879,21.7582,19.2813,1,1,22,5,33524,33525,146771,1,146772
46,106.52,84.8437,21.6763,20.3495,1,1,1,12,33529,33528,146700,5,146705
47,105.5364,82.271,23.2654,22.0449,1,1,5,0,33525,33527,146844,1,146845
48,104.9806,82.9745,22.0061,20.9621,1,1,2,0,33526,33533,146930,4,146934
49,113.7515,94.7965,18.955,16.6635,1,1,8,5,33527,33525,146741,2,146743
50,111.4221,89.5921,21.83,19.5922,1,1,5,1,33527,33528,146871,3,146874
51,115.2048,88.9665,26.2383,22.7754,1,1,19,10,33526,33526,146892,2,146894
